 acw_events.2.d: "[SCOPE.sCharacter('slaver_ig_leader').GetFullName]的一名奴隶从[SCOPE.sCharacter('slaver_ig_leader').GetHerHis]的庄园逃往了北方的自由州。[SCOPE.sCharacter('slaver_ig_leader').GetLastName]要求将那名奴隶遣返，而废奴主义者则呼吁对[SCOPE.sCharacter('slaver_ig_leader').GetHerHis]的要求不予理睬。"
 acw_events.2.a: "我们应当找到[SCOPE.sCharacter('slaver_ig_leader').GetFullName]的逃奴并将其遣返。"
 acw_events.2.b: "自由的土地上人人皆自由。政府不会为[SCOPE.sCharacter('slaver_ig_leader').GetFullName]提供帮助。"
 acw_events.3.d: "[SCOPE.sCharacter('wilmot_proviso_ig_leader').GetFullName]，[SCOPE.gsInterestGroup('wilmot_proviso_ig').GetName]的领袖，提出法案在我们所有新的西部领土上完全禁止奴隶制。某些反对者仅要求妥协，但其他人要求在所有新领土上合法化奴隶制。"
 acw_events.6.t: "[SCOPE.sCharacter('charles_sumner_leader').GetFullName]受杖击事件"
 acw_events.6.d: "直言不讳的废奴主义者[SCOPE.sCharacter('charles_sumner_leader').GetFullName]被蓄奴主义者[SCOPE.sCharacter('preston_brooks_leader').GetFullName]用手杖打了一顿。[SCOPE.sCharacter('charles_sumner_leader').GetLastName]的伤势迫使他辞去公职疗养，而[SCOPE.sCharacter('preston_brooks_leader').GetLastName]目前仍逍遥在外。"
 acw_events.6.a: "[SCOPE.sCharacter('preston_brooks_leader').GetFullName]只是在捍卫自己的荣誉。我们什么都不用做。"
 acw_events.6.a.tt: "[SCOPE.sCharacter('charles_sumner_leader').GetFullName]辞去公职。"
 acw_events.6.b: "[SCOPE.sCharacter('preston_brooks_leader').GetFullName]袭击了一位公民！他必须免去公职并被逮捕。"
 acw_events.6.b.tt: "[SCOPE.sCharacter('preston_brooks_leader').GetFullName]被免去公职。"
 acw_followup_events.1.d: "近来叛军的同情者夺去了[SCOPE.sCharacter('lincoln_proxy').GetFullName]的性命。尽管此人在行凶之后被当场抓住，其同谋也都暴露，[SCOPE.sCharacter('lincoln_proxy').GetLastName]之死是美国历史这段悲剧时期的灰暗终结。"
 acw_followup_events.1.f: "“[SCOPE.sCharacter('lincoln_proxy').GetFullNameNoFormatting]响应职责的呼召，接过这一危险的职位，[SCOPE.sCharacter('lincoln_proxy').GetHerHis]的生命尽管被摧毁，却绝没有丧亡。我国的巨大污点，我国格的巨大玷污，我们人民之间倾轧与争吵的巨大源头，都因为[SCOPE.sCharacter('lincoln_proxy').GetHerHis]的勇气和坚忍而被抹消和去除。[SCOPE.sCharacter('lincoln_proxy').GetFullNameNoFormatting]从此将青史留名。”"
 acw_followup_events.2.d: "近来叛军的同情者企图刺杀[SCOPE.sCharacter('lincoln_proxy').GetFullName]。此人在企图闯入时被抓，他的意图和同谋也都暴露，[SCOPE.sCharacter('lincoln_proxy').GetLastName]利用这个机会，再次动员人民支持[SCOPE.sCharacter('lincoln_proxy').GetHerHis]的事业。"
 acw_followup_events.3.d: "近来叛军的同情者企图刺杀[SCOPE.sCharacter('lincoln_proxy').GetFullName]。事情不如刺客计划那般发展。"
 acw_followup_events.3.f: "[SCOPE.sCharacter('lincoln_proxy').GetFullName]听到了[SCOPE.sCharacter('lincoln_proxy').GetHerHim]身后地板的嘎吱声。在[SCOPE.sCharacter('lincoln_proxy').GetHerHis]的攻击者扣下德林加枪的板机之前，[SCOPE.sCharacter('lincoln_proxy').GetLastName]已经制服了他。“魔鬼！野狗！你不懂得道德准则吗？”[SCOPE.sCharacter('lincoln_proxy').GetSheHe]喊叫道，吐出的每一个字之间都用[SCOPE.sCharacter('lincoln_proxy').GetHerHis]的徒手对[SCOPE.sCharacter('lincoln_proxy').GetLastName]的“刺客”打出一拳。"
 sway_to_bonapartism_correct_ig_in_government_tt: "[Character.GetFullNamePossessive]所处的[concept_interest_group][Character.GetInterestGroup.GetName]正在[concept_in_government]，且#tooltippable #tooltip:[Character.GetTooltipTag],sway_to_bonapartism_correct_ig_in_government_tt_compatibility_list 在意识形态上与[GetIdeology('ideology_bonapartist').GetName]相容#!#!"
 sway_to_bonapartism_compatible_ideology_tt: "[Character.GetFullNamePossessive]的当前[concept_ideology]（[Character.GetIdeology.GetName]）#b 不#!#tooltippable #tooltip:[Character.GetTooltipTag],sway_to_bonapartism_compatible_ideology_tt_compatibility_list 反对[GetIdeology('ideology_bonapartist').GetName]#!#!"
 sway_to_legitimism_correct_ig_in_government_tt: "[Character.GetFullNamePossessive]所处的[concept_interest_group][Character.GetInterestGroup.GetName]正在[concept_in_government]，且#tooltippable #tooltip:[Character.GetTooltipTag],sway_to_legitimism_correct_ig_in_government_tt_compatibility_list 在意识形态上与[GetIdeology('ideology_legitimist').GetName]相容#!#!"
 sway_to_legitimism_compatible_ideology_tt: "[Character.GetFullNamePossessive]的当前[concept_ideology]（[Character.GetIdeology.GetName]）#b 不#!#tooltippable #tooltip:[Character.GetTooltipTag],sway_to_legitimism_compatible_ideology_tt_compatibility_list 反对[GetIdeology('ideology_legitimist').GetName]#!#!"
 sway_to_orleanism_correct_ig_in_government_tt: "[Character.GetFullNamePossessive]所处的[concept_interest_group][Character.GetInterestGroup.GetName]正在[concept_in_government]，且#tooltippable #tooltip:[Character.GetTooltipTag],sway_to_orleanism_correct_ig_in_government_tt_compatibility_list 在意识形态上与[GetIdeology('ideology_orleanist').GetName]相容#!#!"
 sway_to_orleanism_compatible_ideology_tt: "[Character.GetFullNamePossessive]的当前[concept_ideology]（[Character.GetIdeology.GetName]）#b 不#!#tooltippable #tooltip:[Character.GetTooltipTag],sway_to_orleanism_compatible_ideology_tt_compatibility_list 反对[GetIdeology('ideology_orleanist').GetName]#!#!"
 exile_old_ruler_tt: "[SCOPE.sCharacter('old_ruler_scope').GetPrimaryRoleTitle][SCOPE.sCharacter('old_ruler_scope').GetFullName]已被[concept_exile]"
 french_pretenders.6.d: "席卷[ROOT.GetCountry.GetName]全国的危机已经超出[SCOPE.sCharacter('old_ruler_scope').GetFullName]的控制能力。[SCOPE.sCharacter('monarch_scope').GetSheHe|U]被迫下台并逃离本国。与此同时，国内成立了一个共和派的临时政府。"
 french_pretenders_pulse.1.d: "[SCOPE.gsInterestGroup('french_royalist_writer_ig').GetName]能言善辩的领袖[SCOPE.sCharacter('french_royalist_writer').GetFullName]，撰写了一本生动的小册子，概述了[SCOPE.GetRootScope.GetCountry.GetCustom('french_dynasty')]的政治计划。"
 french_pretenders_pulse.4.d: "[SCOPE.gsInterestGroup('monarchist_french_ig').GetName]和[SCOPE.gsInterestGroup('republican_french_ig').GetName]于共同在野期间孕育了难以置信的密切关系。在[SCOPE.sCharacter('monarchist_french_ig_leader').GetIdeology.GetNameNoFormatting]复辟之后，[SCOPE.sCharacter('republican_french_ig_leader').GetFullName][SCOPE.sCharacter('republican_french_ig_leader').GetHerHis]宣布皈依[SCOPE.sCharacter('republican_french_ig_leader').GetHerHis]老盟友的君主制事业。"
 french_pretenders_pulse.4.f: "“[SCOPE.gsInterestGroup('monarchist_french_ig').GetNameNoFormatting]曾被当局追捕，我很钦佩他们当时展现出的决心和勇气，我深情地回顾了我与[SCOPE.sCharacter('monarchist_french_ig_leader').GetFullNameNoFormatting]合作的时光，这是一位优秀而能干的人物。很明显，他们的事业就是我的事业，并且我敦促我的同胞们以我为榜样。”"
 french_pretenders_pulse.4.b.tt: "[SCOPE.sCharacter('republican_french_ig_leader').GetFullName]在这次羞辱后从[SCOPE.gsInterestGroup('republican_french_ig').GetName]退隐。"
 french_pretenders_pulse.5.f: "“朋友们！我们伟大的君主，[SCOPE.sCharacter('monarch_of_france').GetFullNameNoFormatting]，有谁能与之相提并论吗？要我说，没有人！[SCOPE.sCharacter('monarch_of_france').GetSheHe|U]是宇宙的中心，是秩序和国家的唯一真正支柱。[SCOPE.GetRootScope.GetCountry.GetCustom('french_dynasty')]家族无与伦比！”"
